Country,Series Name,1970s,1980s,1990s,2000s,2010s,2020s,Outcome
Aruba,Headline Consumer Price Inflation,2.89,2.89,2.77,3.567,1.204,2.6666666666666665,0
Afghanistan,Headline Consumer Price Inflation,7.3050000000000015,21.41,27.343,10.619000000000002,4.411,7.228333333333334,0
Angola,Headline Consumer Price Inflation,40.111000000000004,6.274,1011.085,80.297,16.241000000000003,22.073333333333334,0
Albania,Headline Consumer Price Inflation,2.41,2.41,44.382,2.69,2.119,3.4633333333333334,0
United Arab Emirates,Headline Consumer Price Inflation,19.985999999999997,5.104,3.572,5.568,1.464,1.1066666666666665,0
Argentina,Headline Consumer Price Inflation,132.941,565.692,252.91500000000002,8.595,25.841999999999995,54.28666666666667,0
Armenia,Headline Consumer Price Inflation,4.135,4.135,923.6415,3.588,3.354,5.723333333333334,0
Antigua and Barbuda,Headline Consumer Price Inflation,12.532,5.708999999999999,3.4150000000000005,1.829,1.796,3.7366666666666664,0
Australia,Headline Consumer Price Inflation,9.802000000000001,8.404,2.505,3.162,2.12,3.39,0
Austria,Headline Consumer Price Inflation,6.102,3.836,2.41,1.986,1.8709999999999998,4.216666666666667,0
Azerbaijan,Headline Consumer Price Inflation,6.17,6.17,424.941,7.175,5.268,7.753333333333333,0
Burundi,Headline Consumer Price Inflation,11.905000000000001,7.045,13.858,11.057,7.081,10.99,0
Belgium,Headline Consumer Price Inflation,7.122,4.898999999999999,2.148,2.1180000000000003,1.8060000000000003,4.26,0
Benin,Headline Consumer Price Inflation,3.5100000000000002,2.2120000000000006,7.739,3.178,1.2610000000000001,3.4166666666666665,0
Burkina Faso,Headline Consumer Price Inflation,8.084,5.045,4.567,2.8549999999999995,0.603,6.673333333333333,0
Bangladesh,Headline Consumer Price Inflation,20.239,11.264000000000001,6.391,5.682999999999999,6.779000000000001,6.233333333333333,0
Bulgaria,Headline Consumer Price Inflation,-0.05,2.55,186.32399999999998,6.795,1.4649999999999999,6.596666666666667,0
Bahrain,Headline Consumer Price Inflation,12.562,2.19,1.437,1.5759999999999998,1.9420000000000002,0.2266666666666667,0
"Bahamas, The",Headline Consumer Price Inflation,6.915000000000001,6.2829999999999995,2.7800000000000002,2.2700000000000005,1.566,2.8699999999999997,0
Bosnia and Herzegovina,Headline Consumer Price Inflation,1.4100000000000001,1.4100000000000001,1.6520000000000004,2.8899999999999997,0.755,4.863333333333333,0
Belarus,Headline Consumer Price Inflation,0.18,1.19,564.9540000000001,37.099000000000004,19.853,10.073333333333334,0
Belize,Headline Consumer Price Inflation,17.157999999999998,4.577,2.0,2.5149999999999997,0.7020000000000001,3.186666666666666,0
Bolivia,Headline Consumer Price Inflation,14.2,1379.2419999999997,10.419,4.871,4.301000000000001,1.1433333333333333,1
Brazil,Headline Consumer Price Inflation,30.636000000000003,328.096,843.2510000000002,6.889999999999999,5.821999999999999,6.936666666666667,1
Barbados,Headline Consumer Price Inflation,13.869,7.299000000000001,3.045,3.758,3.5730000000000004,5.28,0
Brunei Darussalam,Headline Consumer Price Inflation,6.43,3.2920000000000003,2.0929999999999995,0.6020000000000001,-0.095,2.4966666666666666,0
Bhutan,Headline Consumer Price Inflation,5.775,8.983999999999998,8.806000000000001,4.7700000000000005,6.158,8.526666666666666,0
Botswana,Headline Consumer Price Inflation,9.645999999999999,10.663,10.933000000000002,8.731,4.843,6.906666666666666,0
Central African Republic,Headline Consumer Price Inflation,9.05,6.095000000000001,3.907000000000001,3.474,4.397,4.363333333333333,0
Cayman Islands,Headline Consumer Price Inflation,2.1700000000000004,2.1700000000000004,2.8139999999999996,2.489,1.423,3.32,0
Canada,Headline Consumer Price Inflation,7.385,6.505000000000001,2.201,2.115,1.7440000000000002,3.64,0
Switzerland,Headline Consumer Price Inflation,4.977,3.271,2.3400000000000003,0.954,0.026000000000000013,0.8833333333333333,0
Chile,Headline Consumer Price Inflation,174.0,21.366,11.759000000000002,3.368,2.909,6.39,0
China,Headline Consumer Price Inflation,1.165,7.467999999999999,7.76,1.8739999999999999,2.586,1.7633333333333334,0
Côte d'Ivoire,Headline Consumer Price Inflation,11.668000000000001,6.764,5.958,3.0010000000000003,1.459,3.9333333333333336,0
Cameroon,Headline Consumer Price Inflation,10.279,7.776999999999999,5.125,2.581,1.8219999999999998,3.2733333333333334,0
"Congo, Dem. Rep.",Headline Consumer Price Inflation,40.254000000000005,58.873000000000005,3379.675,106.45599999999999,13.031,9.643333333333333,1
"Congo, Rep.",Headline Consumer Price Inflation,8.145,0.6470000000000005,4.154000000000001,2.882,2.287,2.6533333333333333,0
Colombia,Headline Consumer Price Inflation,19.608999999999998,23.477999999999998,22.152000000000005,6.266,3.7350000000000003,5.406666666666666,0
Comoros,Headline Consumer Price Inflation,11.239,5.542,2.9560000000000004,4.376,2.43,4.753333333333333,0
Cabo Verde,Headline Consumer Price Inflation,10.735,11.572,7.303,1.9929999999999999,1.222,2.99,0
Costa Rica,Headline Consumer Price Inflation,9.783,27.095,16.853,10.904,3.152,3.5766666666666667,0
Curacao,Headline Consumer Price Inflation,7.178,4.051,2.476,1.8850000000000002,2.338,2.62,0
Cyprus,Headline Consumer Price Inflation,6.808,5.7989999999999995,3.875,2.7849999999999997,0.548,2.75,0
Czech Republic,Headline Consumer Price Inflation,0.8019999999999999,1.5070000000000001,14.885999999999996,2.784,1.6910000000000003,7.366666666666667,0
Germany,Headline Consumer Price Inflation,4.884,2.8960000000000004,2.557,1.5909999999999997,1.339,3.85,0
Djibouti,Headline Consumer Price Inflation,11.775,5.239999999999999,3.8260000000000005,3.466,2.694,3.5499999999999994,0
Dominica,Headline Consumer Price Inflation,13.220999999999998,6.773000000000001,2.3169999999999997,2.0300000000000002,0.813,2.1833333333333336,0
Denmark,Headline Consumer Price Inflation,9.288,6.909000000000001,2.1130000000000004,2.104,1.2120000000000002,3.3233333333333337,0
Dominican Republic,Headline Consumer Price Inflation,9.203,21.372999999999998,15.294999999999998,13.069999999999999,3.7430000000000008,6.9433333333333325,0
Algeria,Headline Consumer Price Inflation,8.228,9.043,17.811999999999998,3.5519999999999996,4.887,6.536666666666666,0
Ecuador,Headline Consumer Price Inflation,10.629999999999999,33.214999999999996,39.06,17.793,2.56,1.0866666666666667,0
"Egypt, Arab Rep.",Headline Consumer Price Inflation,7.955000000000001,17.348999999999997,10.486,7.561,12.377,8.266666666666667,0
Eritrea,Headline Consumer Price Inflation,9.39,9.39,8.999,18.908,1.157,6.3,0
Spain,Headline Consumer Price Inflation,14.391,10.245000000000001,4.220000000000001,2.964,1.2349999999999999,3.723333333333333,0
Estonia,Headline Consumer Price Inflation,4.049999999999999,4.049999999999999,149.304,4.311999999999999,2.357,7.87,0
Ethiopia,Headline Consumer Price Inflation,10.642,5.203,7.764999999999999,11.037,13.875,27.026666666666667,0
